track_id,user,name,artists,duration,is_explicit,popularity,has_track_features,dancability,energy,loudness,tempo,speechiness,acousticness,instrumentalness,valence,liveness
14XWXWv5FoCbFzLksawpEe,1pat8ir5aqzhzvs7ygs1jp8ga,Riders on the Storm,['The Doors'],434.72,False,73,True,0.55,0.722,-11.729,103.886,0.0283,0.25,0.0129,0.716,0.11
6J1vX9N2REmUcaqnSVF5An,1pat8ir5aqzhzvs7ygs1jp8ga,Echte Vrienden,['BZB'],131.6,False,42,True,0.572,0.74,-6.666,142.169,0.0303,0.0183,5.53e-05,0.942,0.0763
2lM43AfRQWwQ6SDmOJ5Zwc,1pat8ir5aqzhzvs7ygs1jp8ga,Kaputt,['Destroyer'],377.973,False,41,True,0.648,0.721,-8.918,109.992,0.0342,0.0755,0.122,0.555,0.169
54bl6pSG2DUuBPcVIM8NDT,1pat8ir5aqzhzvs7ygs1jp8ga,In the Sun,['She & Him'],170.613,False,40,True,0.607,0.818,-5.935,111.985,0.0322,0.356,0.00646,0.629,0.0689
48vDCZIRmrFO33fH4QU4ij,1pat8ir5aqzhzvs7ygs1jp8ga,Smack My Bitch Up,['The Prodigy'],343.386,True,63,True,0.604,0.995,-3.641,136.216,0.164,0.00306,0.626,0.262,0.109
6adjXENHRzh4uyVziFlVGm,1pat8ir5aqzhzvs7ygs1jp8ga,Beginner's Luck,['Maribou State'],268.027,False,55,True,0.561,0.573,-10.104,81.979,0.0488,0.606,0.854,0.243,0.218
7KX65PC1UZuImsUInThbav,1pat8ir5aqzhzvs7ygs1jp8ga,Cold Little Heart - Radio Edit,['Michael Kiwanuka'],210.299,False,69,True,0.629,0.58,-6.208,110.264,0.0278,0.357,0.000353,0.655,0.436
0PfR5qCmwobwbpXL3vaqPm,1pat8ir5aqzhzvs7ygs1jp8ga,Changes,['Mala'],410.973,False,39,True,0.682,0.538,-11.363,138.999,0.0414,0.000693,0.829,0.0946,0.0765
78kyRJek35U3dIHsRisrJc,1pat8ir5aqzhzvs7ygs1jp8ga,10 Miljoen,['Samson & Gert'],175.933,False,36,True,0.696,0.788,-11.977,82.939,0.0394,0.575,4.27e-05,0.961,0.147
6BqWhxll86CGGE6WxgdRqG,1pat8ir5aqzhzvs7ygs1jp8ga,Golden Skans,['Klaxons'],165.12,False,65,True,0.463,0.836,-2.776,141.955,0.0381,0.000418,7.38e-06,0.713,0.25
3GNTPWY8u9WBdTrf6Jx5f6,1pat8ir5aqzhzvs7ygs1jp8ga,Flux,['Bloc Party'],216.613,False,54,True,0.49,0.963,-3.755,152.029,0.148,0.00052,0.00281,0.317,0.055
